Stop Name,Visibility (V),Lighting (L),Traffic Risk (T),Pedestrian Safety (P),Sidewalk Quality (S),Construction Risk (C),U-Turn Required (U)
Stop A (residential),0.9,0.8,0.2,1.0,0.9,0.0,0
Stop B (intersection),0.6,0.4,0.8,0.4,0.5,0.2,1
Stop C (parking lot),0.8,1.0,0.3,0.7,0.8,0.1,0
Stop D (rural driveway),0.7,0.3,0.1,0.5,0.4,0.0,1
Stop E (busy road),0.5,0.6,0.9,0.3,0.3,0.3,1
Stop F (school loop),1.0,1.0,0.1,1.0,1.0,0.0,0
Stop G (quiet cul-de-sac),0.95,0.9,0.1,0.9,0.95,0.0,0
Stop H (blind corner),0.4,0.2,0.9,0.3,0.3,0.3,1
Stop I (construction zone),0.3,0.3,1.0,0.2,0.2,1.0,1
Stop J (shared driveway),0.6,0.5,0.5,0.6,0.7,0.4,1
